,Instance,n_N,n_B,k,Single,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,3,10,1,1,True,0,False,False,False,6.214167171491348e-05,3.6623730659484863,3294.0,298.04588058886407,,,,
1,3,10,1,1,True,0,False,False,True,5.48968550616056e-06,3.2210958003997803,1359.0,298.0392597489752,0.0118410587310791,0.0075128078460693,327.19015757131046,327.19015757131046
2,3,10,3,1,True,0,False,False,False,8.780516992089627e-05,30.44389605522156,12663.0,298.0386404763929,,,,
3,3,10,3,1,True,0,False,False,True,1.7513375362760836e-07,167.95969009399414,106751.0,298.0382384817724,0.0202209949493408,0.0156660079956054,327.19015757131046,327.19015757131046
4,3,10,9,1,True,0,False,False,False,8.715164609299575e-07,339.07999777793884,139998.0,306.67245311229675,,,,
5,3,10,9,1,True,0,False,False,True,1.818292851317063e-05,84.2046709060669,22522.0,306.6776255161652,0.0407061576843261,14.484369039535522,335.9620058675746,320.83495251229976
6,3,10,19,1,True,0,False,True,False,0.0,70.32206201553345,38867.0,331.7235095741256,,,,
7,3,10,19,1,True,0,False,True,True,7.64676184473043e-06,98.9689781665802,51420.0,331.7235452954877,0.0789520740509033,0.6642861366271973,361.174962007063,560.2436887759302
8,3,10,1,1,True,50,False,False,False,2.4324761377385685e-05,2.964017868041992,1988.0,548.0393647024226,,,,
9,3,10,1,1,True,50,False,False,True,7.87427030405985e-05,4.313593864440918,3620.0,548.0383492499138,0.0124890804290771,0.0072848796844482,577.1901575713105,577.1901575713105
10,3,10,3,1,True,50,False,False,False,1.0853345207874347e-07,16.522289037704468,8031.0,548.0382439897553,,,,
11,3,10,3,1,True,50,False,False,True,9.86441743599261e-07,10.91675591468811,7245.0,548.0382390595714,0.019280195236206,0.0164439678192138,577.1901575713105,577.1901575713104
12,3,10,9,1,True,50,False,False,False,1.3518266019132002e-05,23.383875131607056,4683.0,639.9359038680827,,,,
13,3,10,9,1,True,50,False,False,True,8.514877997853972e-07,15.779395818710327,2031.0,639.9333643685131,0.0265991687774658,14.114259958267212,669.0920289374126,640.2770852786136
14,3,10,19,1,True,50,False,True,False,0.0,46.37435483932495,2370.0,840.2925343378669,,,,
15,3,10,19,1,True,50,False,True,True,1.3370682347451803e-09,43.21865487098694,1447.0,840.292635675175,0.0438098907470703,0.659174919128418,869.3049850769008,1210.3195016715206
16,3,10,1,1,True,0,False,False,False,6.214167171491348e-05,3.592411994934082,3294.0,298.04588058886407,,,,
17,3,10,1,1,True,0,False,False,True,5.48968550616056e-06,3.254776954650879,1359.0,298.0392597489752,0.0134549140930175,0.0077018737792968,327.19015757131046,327.19015757131046
18,3,10,3,1,True,0,False,False,False,8.780516992089627e-05,30.61083197593689,12663.0,298.0386404763929,,,,
19,3,10,3,1,True,0,False,False,True,1.7513375362760836e-07,175.8930859565735,106751.0,298.0382384817724,0.0234999656677246,0.0157089233398437,327.19015757131046,327.19015757131046
20,3,10,9,1,True,0,False,False,False,8.715164609299575e-07,340.9123377799988,139998.0,306.67245311229675,,,,
21,3,10,9,1,True,0,False,False,True,1.818292851317063e-05,85.35338401794434,22522.0,306.6776255161652,0.0305080413818359,14.432265043258669,335.9620058675746,320.83495251229976
22,3,10,19,1,True,0,False,True,False,0.0,70.99253988265991,38867.0,331.7235095741256,,,,
23,3,10,19,1,True,0,False,True,True,7.64676184473043e-06,98.89843702316284,51420.0,331.7235452954877,0.0794589519500732,0.6653921604156494,361.174962007063,560.2436887759302
24,3,10,1,1,True,50,False,False,False,2.4324761377385685e-05,2.9429290294647217,1988.0,548.0393647024226,,,,
25,3,10,1,1,True,50,False,False,True,7.87427030405985e-05,4.360350131988525,3620.0,548.0383492499138,0.0103881359100341,0.0073091983795166,577.1901575713105,577.1901575713105
26,3,10,3,1,True,50,False,False,False,1.0853345207874347e-07,16.853080987930298,8031.0,548.0382439897553,,,,
27,3,10,3,1,True,50,False,False,True,7.888397059896286e-06,19.14525413513184,15484.0,548.0422532650371,0.0150699615478515,0.0157639980316162,577.1901575713105,577.1901575713104
28,3,10,9,1,True,50,False,False,False,1.3518266019132002e-05,23.68019413948059,4683.0,639.9359038680827,,,,
29,3,10,9,1,True,50,False,False,True,8.514877997853972e-07,15.789345979690552,2031.0,639.9333643685131,0.026526927947998,14.145144939422607,669.0920289374126,640.2770852786136
30,3,10,19,1,True,50,False,True,False,0.0,46.46336793899536,2370.0,840.2925343378669,,,,
31,3,10,19,1,True,50,False,True,True,1.3370682347451803e-09,43.92178392410278,1447.0,840.292635675175,0.0474271774291992,0.6655490398406982,869.3049850769008,1210.3195016715206
32,3,10,1,2,True,0,False,False,False,4.909456103460947e-05,2.0756261348724365,767.0,174.8233922949999,,,,
33,3,10,1,2,True,0,False,False,True,3.890928837317055e-06,2.8857078552246094,910.0,174.81989716393554,0.0639190673828125,0.0074291229248046,200.28063686618628,200.28063686618628
34,3,10,3,2,True,0,False,False,False,7.438703020653548e-05,26.80017900466919,10762.0,178.3282400298523,,,,
35,3,10,3,2,True,0,False,False,True,3.33728319059086e-07,59.10678291320801,48505.0,178.32817602765837,0.1003098487854003,0.3430159091949463,203.74227966153995,859.7211024196442
36,3,10,9,2,True,0,False,False,False,1.4877565262786369e-05,100.34841299057008,50837.0,184.62882300999,,,,
37,3,10,9,2,True,0,False,False,True,1.5912488574172391e-06,146.7398579120636,72547.0,184.62899964830316,0.1001319885253906,0.5459599494934082,211.84879789382,710.2427083347784
38,3,10,19,2,True,0,False,True,False,0.0,103.69944214820862,35124.0,251.64258032585388,,,,
39,3,10,19,2,True,0,False,True,True,7.101588202498325e-08,103.21268200874329,45189.0,251.6425729652424,0.2895019054412842,0.0846490859985351,299.06168735830835,369.5297194778689
40,3,10,1,2,True,50,False,False,False,1.2004882270482611e-06,4.80253791809082,2742.0,424.8200500775039,,,,
41,3,10,1,2,True,50,False,False,True,9.148173671627548e-06,3.094223976135254,472.0,424.8202703432869,0.0561709403991699,0.0073139667510986,450.2806368661863,450.2806368661863
42,3,10,3,2,True,50,False,False,False,0.0001716686330995,3600.0114471912384,2927204.0,455.188631428384,,,,
43,3,10,3,2,True,50,False,False,True,0.0002011441348994,3600.019515991211,3099526.0,455.18863269950657,0.3139300346374511,0.312363862991333,478.74227966154,1661.544644634338
44,3,10,9,2,True,50,False,False,False,0.0001647584015881,3600.02227306366,2058286.0,486.4892308834037,,,,
45,3,10,9,2,True,50,False,False,True,0.0001647584015881,3600.0270459651947,2030623.0,486.4892308834037,0.209878921508789,62.99969792366028,511.84879789382,701735.5994639064
46,3,10,19,2,True,50,False,True,False,0.0,30.965176820755005,6258.0,753.156733788279,,,,
47,3,10,19,2,True,50,False,True,True,1.2696811849273137e-06,34.70475912094116,7386.0,753.157395002672,0.2215349674224853,0.083367109298706,799.0616873583085,912.341458899262
48,3,10,1,1,False,0,False,False,False,2.3376765356710792e-05,2.972177028656006,1032.0,298.0391907464265,,,,
49,3,10,1,1,False,0,False,False,True,3.10879350334994e-05,2.895909070968628,1277.0,298.03822858255137,0.0050709247589111,0.0073761940002441,327.19015757131046,327.19015757131046
50,3,10,3,1,False,0,False,False,False,6.547727255195087e-05,15.709326028823853,8600.0,298.0385476934222,,,,
51,3,10,3,1,False,0,False,False,True,3.604947684288717e-06,20.233348846435547,16131.0,298.0384789639792,0.0993061065673828,0.0336689949035644,327.19015757131046,327.19015757131046
52,3,10,9,1,False,0,False,False,False,8.445865999669922e-07,41.92882800102234,17973.0,306.67225349869466,,,,
53,3,10,9,1,False,0,False,False,True,2.6557544070534647e-06,24.32973909378052,3675.0,306.67281512211423,0.3389129638671875,1.6679270267486572,335.9620058675746,340.1675898752679
54,3,10,19,1,False,0,False,True,False,9.519632961120492e-05,72.87744808197021,37202.0,331.7233109046846,,,,
55,3,10,19,1,False,0,False,True,True,0.0,130.22657012939453,36886.0,331.7234893164234,0.9965250492095948,2.2977020740509038,361.17496200706296,468.98132632813264
